Nodes,OfferedMbps,ThroughputMbps,AvgDelayMs,PDRPercent,PhyRxDrops,MacRetries,MacFinalDrops
2,0.1,0.103667,1.59147,100,0,0,0
3,0.2,0.207121,1.59716,100,0,0,0
4,0.3,0.310024,1.58454,100,0,0,0
5,0.4,0.41004,3.82268,99.2355,2.66667,0.333333,0
6,0.5,0.516669,1.69387,100,0,0,0
7,0.6,0.619316,1.73742,100,0,0,0
8,0.7,0.722539,1.77481,100,0,0,0
9,0.8,0.822331,3.19538,99.6177,123.333,20,0
10,0.9,0.925414,2.81096,99.6602,31,3,0
11,1,1.02563,3.62944,99.3884,48,6.66667,0
12,1.1,1.12874,3.65272,99.444,93.3333,10.6667,0
13,1.2,1.22555,4.94788,98.9806,123.333,13.3333,0
14,1.3,1.33174,4.9109,99.2943,691.667,65.6667,0
15,1.4,1.43146,4.51446,99.1263,263.333,25.3333,0
16,1.5,1.53693,4.49172,99.3476,866.333,72.6667,0
17,1.6,1.63128,5.96634,98.815,918,69,0
18,1.7,1.73498,5.75595,98.9207,2067,148.667,0
19,1.8,1.83976,5.10942,99.1505,1036,70.6667,0
20,1.9,1.94391,5.34205,99.1952,1945.67,127.667,0
21,2,2.04158,7.68598,98.9297,5081.33,324.667,0
22,2.1,2.11325,10.5009,97.5826,3133.33,194,0
23,2.2,2.21362,10.345,97.5813,3037.67,173.667,0
24,2.3,2.32517,8.61613,98.0588,2981,159.333,0
25,2.4,2.42286,10.0171,97.9103,4936,261,0
26,2.5,2.49861,14.2661,96.9419,8164,404.333,0
27,2.6,2.60746,11.689,97.2948,5785,274,0
28,2.7,2.70906,12.7884,97.3723,10459,472.667,0
29,2.8,2.77366,17.8572,96.1555,15831.7,686.667,0
30,2.9,2.91142,14.1698,97.4692,17115.3,735.333,0
